 2 39  23.30  24.10   1.13   0.04
 4 31  15.27  15.41   2.20   0.09
 5  6  34.29  33.57   0.91   3.16
 6  7  32.78  32.99   1.81   0.08
 7 10  37.07  37.32   0.15   1.09
 9 36  27.39  27.46   1.33   0.37
10 11  29.88  30.24   2.29   0.16
10 25  19.83  18.95   1.59   0.43
10 33  17.08  17.37   2.03   0.12
12 23  21.50  19.67   0.12   4.20
13 17  26.75  27.62   1.02   0.07
14 15  15.72  16.70   0.75   2.98
14 16  18.59  19.21   0.41   5.42
14 22  14.02  11.08   0.04   1.48
15 20  11.34  10.64   0.08   1.96
15 29  21.11  20.67   1.02   0.19
16 17   8.00   8.14   4.94   1.04
16 19  15.54  15.27   0.10   2.22
16 21   7.15   6.97   1.31   0.32
16 22  15.12  14.70   0.11   3.23
16 23  19.96  22.09   1.08   0.01
16 30  24.81  24.78   1.42   0.19
17 20  19.42  19.18   1.64   0.09
17 23  15.52  18.12   1.45   0.02
19 21   9.21   9.46   0.14   4.61
20 30  31.44  31.79   1.60   0.44
21 30  28.70  28.82   1.52   0.39
23 31  29.28  27.27   0.03   2.04
26 32  18.62  18.91   4.06   0.82
28 31  28.61  28.29   0.20   1.24
30 31  30.80  31.12   0.57   2.00
31 32  29.89  30.23   4.54   1.31
35 39  17.31  17.00   0.26   1.12
36 41  10.13  10.07   1.31   0.05
37 43  15.72  15.60   2.70   0.37
40 42   8.19   8.38   0.29   2.06
41 42   4.61   4.83   0.89   8.07
