 1  9  16.95  16.76   1.09   0.11
 4 11  22.10  20.72   2.90   0.37
 4 27  15.29  16.18   6.14   1.17
 5 10  32.87  34.88   1.60   0.28
 6  7  32.80  32.78   0.21   1.81
 7 10  37.80  37.07   1.05   0.15
 7 34  18.63  18.71   1.86   0.06
 7 40  38.33  38.15   0.09   1.01
 7 41  33.71  33.50   1.41   0.20
 9 37  27.16  26.99   0.22   1.34
10 27  29.61  30.72   1.27   0.22
10 31  36.73  37.37   0.36   1.94
11 25  30.29  29.45   1.83   0.08
14 16  18.48  18.59   5.19   0.41
14 19  20.96  24.07   1.19   0.03
15 16   2.93   3.40   0.61   7.66
15 21   6.49   6.96   0.03   1.03
16 19  15.08  15.54   1.59   0.10
16 20  11.57  11.97   0.50   3.29
16 21   7.11   7.15   0.15   1.31
17 23  15.78  15.52   0.05   1.45
17 29  27.19  27.58   1.11   0.09
18 20  16.98  17.32   0.49   2.64
19 21   8.87   9.21   3.86   0.14
26 34  37.31  37.77   1.01   0.18
27 28  34.76  34.73   2.50   0.07
30 31  31.03  30.80   4.61   0.57
35 37  19.25  19.45   1.33   0.04
36 39  10.05   9.91   1.47   0.19
36 42   6.46   6.86   1.31   0.04
37 42   7.86   8.08   1.20   0.14
40 42   8.13   8.19   2.92   0.29
41 42   4.92   4.61  10.10   0.89
